"id";"title";"author";"genre";"available"
"1";"To Kill a Mockingbird";"Harper Lee";"Fiction";"1"
"2";"1984";"George Orwell";"Dystopian";"1"
"3";"The Great Gatsby";"F. Scott Fitzgerald";"Classic";"1"
"4";"The Silent Patient";"Alex Michaelides";"Psychological Thriller";"1"
"5";"The Vanishing Half";"Brit Bennett";"Fiction";"1"
"6";"Klara and the Sun";"Kazuo Ishiguro";"Science Fiction";"1"
"7";"The Midnight Library";"Matt Haig";"Fiction";"1"
"8";"Project Hail Mary";"Andy Weir";"Science Fiction";"1"
"9";"Malibu Rising";"Taylor Jenkins Reid";"Contemporary Fiction";"1"
"10";"The Last House on Needless Street";"Catriona Ward";"Horror";"1"
"11";"The Push";"Ashley Audrain";"Psychological Thriller";"1"
"12";"The Paper Palace";"Miranda Cowley Heller";"Fiction";"1"
"13";"The Four Winds";"Kristin Hannah";"Historical Fiction";"1"
"14";"The Invisible Life of Addie LaRue";"V.E. Schwab";"Fantasy";"1"
"15";"The Song of Achilles";"Madeline Miller";"Historical Fiction";"1"
"16";"Circe";"Madeline Miller";"Fantasy";"1"
"17";"Anxious People";"Fredrik Backman";"Fiction";"1"
"18";"The Guest List";"Lucy Foley";"Mystery";"1"
"19";"Normal People";"Sally Rooney";"Fiction";"1"
"20";"The Seven Husbands of Evelyn Hugo";"Taylor Jenkins Reid";"Historical Fiction";"1"
"21";"Daisy Jones & The Six";"Taylor Jenkins Reid";"Historical Fiction";"1"
"22";"Where the Crawdads Sing";"Delia Owens";"Fiction";"1"
"23";"The Huntress";"Kate Quinn";"Historical Fiction";"1"
"24";"The Night Circus";"Erin Morgenstern";"Fantasy";"1"
"25";"Little Fires Everywhere";"Celeste Ng";"Fiction";"1"
"26";"The Light We Lost";"Jill Santopolo";"Fiction";"1"
"27";"Big Little Lies";"Liane Moriarty";"Fiction";"1"
"28";"The Woman in the Window";"A.J. Finn";"Thriller";"1"
"29";"The Couple Next Door";"Shari Lapena";"Thriller";"1"
